18:15 31/5/2023,"6,21"
18:14 31/5/2023,"1,70"
18:14 31/5/2023,"1,08"
18:14 31/5/2023,"2,16"
18:14 31/5/2023,"1,36"
18:13 31/5/2023,"2,45"
18:13 31/5/2023,"2,94"
18:12 31/5/2023,"5,61"
18:12 31/5/2023,"1,69"
18:11 31/5/2023,"3,51"
18:11 31/5/2023,"1,16"
18:10 31/5/2023,"2,38"
18:10 31/5/2023,"1,13"
18:10 31/5/2023,"1,94"
18:09 31/5/2023,"2,80"
18:09 31/5/2023,"1,57"
18:09 31/5/2023,"1,57"
18:08 31/5/2023,"6,26"
18:08 31/5/2023,"1,06"
18:07 31/5/2023,"32,58"
18:07 31/5/2023,"1,08"
18:06 31/5/2023,"1,51"
18:06 31/5/2023,"4,24"
18:05 31/5/2023,"1,86"
18:05 31/5/2023,"1,43"
18:04 31/5/2023,"22,73"
18:04 31/5/2023,"2,10"
18:03 31/5/2023,"1,55"
18:03 31/5/2023,"2,14"
18:03 31/5/2023,"1,27"
18:02 31/5/2023,"1,04"
18:02 31/5/2023,"2,22"
18:02 31/5/2023,"1,57"
18:01 31/5/2023,"4,90"
18:00 31/5/2023,"9,13"
18:00 31/5/2023,"1,53"
17:59 31/5/2023,"41,43"
17:58 31/5/2023,"5,34"
17:58 31/5/2023,"1,98"
17:57 31/5/2023,"2,56"
17:56 31/5/2023,"27,79"
17:56 31/5/2023,"1,63"
17:55 31/5/2023,"2,69"
17:55 31/5/2023,"4,51"
17:53 31/5/2023,"69,45"
17:53 31/5/2023,"1,24"
17:52 31/5/2023,"12,62"
17:52 31/5/2023,"1,22"
17:52 31/5/2023,"2,28"
17:51 31/5/2023,"6,96"
17:51 31/5/2023,"1,20"
17:50 31/5/2023,"2,11"
17:50 31/5/2023,"2,38"
17:49 31/5/2023,"3,77"
17:49 31/5/2023,"1,17"
17:49 31/5/2023,"1,05"
17:48 31/5/2023,"1,38"
17:48 31/5/2023,"1,13"
17:48 31/5/2023,"1,07"
17:47 31/5/2023,"14,49"
17:47 31/5/2023,"1,63"
17:46 31/5/2023,"2,49"
17:46 31/5/2023,"1,91"
17:46 31/5/2023,"1,52"
17:45 31/5/2023,"6,37"
17:44 31/5/2023,"2,31"
17:44 31/5/2023,"1,06"
17:44 31/5/2023,"3,34"
17:43 31/5/2023,"1,32"
17:43 31/5/2023,"2,41"
17:42 31/5/2023,"15,41"
17:42 31/5/2023,"1,60"
17:41 31/5/2023,"1,16"
17:41 31/5/2023,"1,06"
17:41 31/5/2023,"3,44"
17:40 31/5/2023,"2,74"
17:40 31/5/2023,"1,20"
17:40 31/5/2023,"1,02"
17:39 31/5/2023,"6,58"
17:39 31/5/2023,"2,49"
17:38 31/5/2023,"1,43"
17:38 31/5/2023,"3,83"
17:37 31/5/2023,"1,79"
17:37 31/5/2023,"4,88"
17:36 31/5/2023,"3,40"
17:36 31/5/2023,"1,73"
17:35 31/5/2023,"4,59"
17:35 31/5/2023,"3,57"
17:34 31/5/2023,"4,85"
17:34 31/5/2023,"1,79"
17:33 31/5/2023,"2,73"
17:33 31/5/2023,"1,15"
17:33 31/5/2023,"1,53"
17:32 31/5/2023,"14,10"
17:32 31/5/2023,"1,01"
17:31 31/5/2023,"1,53"
17:31 31/5/2023,"1,02"
17:31 31/5/2023,"2,03"
17:30 31/5/2023,"1,15"
